Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:39:08.419000,VER,33,0 days 00:01:58.245000,1.0,1.0,,,,0 days 00:00:53.703000,0 days 00:00:32.579000,,0 days 00:38:35.926000,0 days 00:39:08.517000,233.0,90.0,222.0,250.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:37:09.970000,2021-03-28 15:07:09.980,124,2.0,False,,False,False
0 days 00:41:30.825000,VER,33,0 days 00:02:22.406000,2.0,1.0,,,0 days 00:00:45.874000,0 days 00:01:01.922000,0 days 00:00:34.610000,0 days 00:39:54.293000,0 days 00:40:56.215000,0 days 00:41:30.825000,186.0,198.0,222.0,238.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:39:08.419000,2021-03-28 15:09:08.429,4,1.0,False,,False,False
0 days 00:44:08.804000,VER,33,,3.0,1.0,,,0 days 00:00:44.111000,0 days 00:01:02.264000,0 days 00:00:51.626000,0 days 00:42:14.914000,0 days 00:43:17.191000,0 days 00:44:08.899000,142.0,109.0,168.0,138.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:41:30.825000,2021-03-28 15:11:30.835,41,1.0,False,,False,False
0 days 00:45:53.147000,VER,33,0 days 00:01:44.343000,4.0,1.0,,,0 days 00:00:32.129000,0 days 00:00:41.273000,0 days 00:00:30.941000,0 days 00:44:40.933000,0 days 00:45:22.206000,0 days 00:45:53.147000,234.0,254.0,211.0,280.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 00:44:08.804000,2021-03-28 15:14:08.814,126,1.0,False,,False,False
0 days 00:47:37.776000,VER,33,0 days 00:01:44.629000,5.0,1.0,,,0 days 00:00:39.328000,0 days 00:00:41.460000,0 days 00:00:23.841000,0 days 00:46:32.475000,0 days 00:47:13.935000,0 days 00:47:37.776000,198.0,257.0,272.0,210.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:45:53.147000,2021-03-28 15:15:53.157,671,1.0,False,,False,False
0 days 00:49:13.758000,VER,33,0 days 00:01:35.982000,6.0,1.0,,,0 days 00:00:30.819000,0 days 00:00:41.205000,0 days 00:00:23.958000,0 days 00:48:08.595000,0 days 00:48:49.800000,0 days 00:49:13.758000,232.0,259.0,272.0,285.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 00:47:37.776000,2021-03-28 15:17:37.786,1,1.0,False,,False,True
0 days 00:50:49.660000,VER,33,0 days 00:01:35.902000,7.0,1.0,,,0 days 00:00:30.846000,0 days 00:00:41.378000,0 days 00:00:23.678000,0 days 00:49:44.604000,0 days 00:50:25.982000,0 days 00:50:49.660000,230.0,253.0,273.0,281.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 00:49:13.758000,2021-03-28 15:19:13.768,1,1.0,False,,False,True
0 days 00:52:25.692000,VER,33,0 days 00:01:36.032000,8.0,1.0,,,0 days 00:00:31.016000,0 days 00:00:41.266000,0 days 00:00:23.750000,0 days 00:51:20.676000,0 days 00:52:01.942000,0 days 00:52:25.692000,228.0,255.0,272.0,276.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:50:49.660000,2021-03-28 15:20:49.670,1,1.0,False,,False,True
0 days 00:54:01.704000,VER,33,0 days 00:01:36.012000,9.0,1.0,,,0 days 00:00:30.988000,0 days 00:00:41.271000,0 days 00:00:23.753000,0 days 00:52:56.680000,0 days 00:53:37.951000,0 days 00:54:01.704000,231.0,255.0,273.0,279.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:52:25.692000,2021-03-28 15:22:25.702,1,1.0,False,,False,True
0 days 00:55:37.879000,VER,33,0 days 00:01:36.175000,10.0,1.0,,,0 days 00:00:30.984000,0 days 00:00:41.378000,0 days 00:00:23.813000,0 days 00:54:32.688000,0 days 00:55:14.066000,0 days 00:55:37.879000,229.0,253.0,273.0,278.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:54:01.704000,2021-03-28 15:24:01.714,1,1.0,False,,False,True
